wall_time,step,return
24_12_22_11_47_11,15000,244.30795
24_12_22_11_59_09,30000,418.63202
24_12_22_12_11_02,45000,475.85504
24_12_22_12_23_09,60000,918.7837
24_12_22_12_36_19,75000,3124.101
24_12_22_12_48_57,90000,2151.682
24_12_22_13_02_08,105000,3299.3606
24_12_22_13_14_48,120000,1851.875
24_12_22_13_27_27,135000,2066.5435
24_12_22_13_39_56,150000,1750.7705
24_12_22_13_52_49,165000,2672.3987
24_12_22_14_05_03,180000,1363.3538
24_12_22_14_17_16,195000,1454.6786
24_12_22_14_29_33,210000,1523.7809
24_12_22_14_41_51,225000,1585.883
24_12_22_14_54_22,240000,1939.8896
24_12_22_15_06_41,255000,1168.7374
24_12_22_15_19_08,270000,1760.1614
24_12_22_15_31_31,285000,1787.6123
24_12_22_15_44_30,300000,2731.776
24_12_22_15_57_30,315000,3016.0688
24_12_22_16_09_45,330000,1421.9446
24_12_22_16_22_27,345000,2327.1746
24_12_22_16_34_49,360000,1689.8365
24_12_22_16_47_14,375000,1904.1227
24_12_22_16_59_42,390000,2211.2864
24_12_22_17_11_54,405000,1214.3434
24_12_22_17_24_20,420000,1781.9691
24_12_22_17_36_45,435000,1878.8674
24_12_22_17_49_01,450000,1504.6306
24_12_22_18_01_23,465000,1806.5029
24_12_22_18_13_42,480000,1991.5564
24_12_22_18_25_56,495000,1741.1324
24_12_22_18_38_10,510000,1525.7173
24_12_22_18_50_21,525000,1522.2595
24_12_22_19_02_33,540000,1710.1201
24_12_22_19_14_46,555000,1826.1787
24_12_22_19_27_10,570000,2138.1907
24_12_22_19_39_27,585000,1933.4564
24_12_22_19_51_36,600000,1531.0513
24_12_22_20_03_53,615000,1884.1787
24_12_22_20_16_07,630000,1675.2285
24_12_22_20_28_20,645000,1710.3912
24_12_22_20_40_35,660000,1590.3716
24_12_22_20_52_34,675000,1462.8975
24_12_22_21_04_42,690000,1382.1226
24_12_22_21_16_52,705000,1559.3098
24_12_22_21_29_08,720000,1780.7535
24_12_22_21_41_27,735000,1817.015
24_12_22_21_53_35,750000,1389.6113
24_12_22_22_05_37,765000,1188.382
24_12_22_22_17_48,780000,1590.1096
24_12_22_22_30_06,795000,1713.3207
24_12_22_22_42_24,810000,1928.2875
24_12_22_22_54_30,825000,1825.4056
24_12_22_23_06_44,840000,1830.7473
24_12_22_23_19_05,855000,1922.8894
24_12_22_23_31_16,870000,1599.1608
24_12_22_23_43_31,885000,1860.6035
24_12_22_23_55_47,900000,1754.8063
24_12_23_00_08_04,915000,1819.1898
24_12_23_00_20_10,930000,1359.9473
24_12_23_00_32_17,945000,1688.583
24_12_23_00_44_24,960000,1742.7057
24_12_23_00_56_39,975000,1628.6652
24_12_23_01_09_31,990000,2891.766
24_12_23_01_21_45,1005000,1765.5348
24_12_23_01_34_06,1020000,1964.0349
24_12_23_01_46_15,1035000,1353.7286
24_12_23_01_58_24,1050000,1667.8369
24_12_23_02_10_45,1065000,1947.4352
24_12_23_02_22_58,1080000,1831.2633
24_12_23_02_35_13,1095000,1988.4261
24_12_23_02_47_26,1110000,1790.7756
24_12_23_02_59_38,1125000,1760.1497
24_12_23_03_11_49,1140000,1867.7048
24_12_23_03_24_03,1155000,1775.758
24_12_23_03_36_18,1170000,1807.8916
24_12_23_03_48_28,1185000,1567.824
24_12_23_04_00_47,1200000,1972.8018
24_12_23_04_12_50,1215000,1604.5967
24_12_23_04_25_12,1230000,1980.016
24_12_23_04_37_25,1245000,1850.0336
24_12_23_04_49_23,1260000,1487.2036
24_12_23_05_01_35,1275000,1882.7468
24_12_23_05_13_55,1290000,1785.1523
24_12_23_05_26_17,1305000,1875.4603
24_12_23_05_38_31,1320000,1634.6575
24_12_23_05_50_53,1335000,1793.1176
24_12_23_06_03_12,1350000,1967.6843
24_12_23_06_15_23,1365000,1516.8025
24_12_23_06_27_34,1380000,1689.607
24_12_23_06_39_51,1395000,1632.595
24_12_23_06_52_06,1410000,1665.094
24_12_23_07_04_16,1425000,1677.2799
24_12_23_07_16_34,1440000,1826.7859
24_12_23_07_28_43,1455000,1542.9382
24_12_23_07_40_50,1470000,1483.8875
24_12_23_07_52_55,1485000,1401.3616
24_12_23_08_05_08,1500000,1748.1888
