wall_time,step,return
24_12_21_22_53_01,15000,942.96277
24_12_21_23_02_46,30000,475.84613
24_12_21_23_12_42,45000,1121.5076
24_12_21_23_22_38,60000,1686.3289
24_12_21_23_32_15,75000,1478.933
24_12_21_23_41_45,90000,1563.2178
24_12_21_23_51_24,105000,2672.4702
24_12_22_00_00_55,120000,1986.1082
24_12_22_00_10_39,135000,3411.5579
24_12_22_00_21_07,150000,4271.6826
24_12_22_00_32_47,165000,4535.877
24_12_22_00_43_07,180000,5076.07
24_12_22_00_52_40,195000,2931.3152
24_12_22_01_02_26,210000,4445.253
24_12_22_01_12_16,225000,5067.1973
24_12_22_01_22_11,240000,5671.9795
24_12_22_01_32_02,255000,5019.821
24_12_22_01_41_54,270000,5152.706
24_12_22_01_51_46,285000,5488.922
24_12_22_02_01_39,300000,5442.0435
24_12_22_02_11_33,315000,5607.797
24_12_22_02_21_29,330000,5753.5444
24_12_22_02_31_21,345000,5513.7783
24_12_22_02_41_19,360000,5481.4634
24_12_22_02_51_10,375000,4958.5024
24_12_22_03_01_01,390000,5248.3457
24_12_22_03_10_51,405000,5058.9155
24_12_22_03_20_41,420000,5288.5938
24_12_22_03_30_30,435000,5131.338
24_12_22_03_40_22,450000,5628.8633
24_12_22_03_50_07,465000,4718.199
24_12_22_04_00_01,480000,5853.9717
24_12_22_04_09_46,495000,4633.918
24_12_22_04_19_39,510000,5731.0747
24_12_22_04_29_35,525000,5701.304
24_12_22_04_39_18,540000,4520.137
24_12_22_04_49_08,555000,5328.8975
24_12_22_04_58_55,570000,4971.681
24_12_22_05_08_52,585000,6210.534
24_12_22_05_18_47,600000,5931.107
24_12_22_05_28_41,615000,5627.6064
24_12_22_05_38_38,630000,6134.782
24_12_22_05_48_34,645000,6136.5786
24_12_22_05_58_24,660000,5252.4673
24_12_22_06_08_10,675000,4749.6577
24_12_22_06_18_07,690000,6278.527
24_12_22_06_27_54,705000,4825.375
24_12_22_06_37_57,720000,5847.8213
24_12_22_06_48_00,735000,5655.625
24_12_22_06_57_53,750000,5546.206
24_12_22_07_07_46,765000,5752.943
24_12_22_07_17_33,780000,4946.375
24_12_22_07_27_29,795000,6028.7515
24_12_22_07_37_09,810000,4167.373
24_12_22_07_46_57,825000,4926.1494
24_12_22_07_56_54,840000,6197.9165
24_12_22_08_06_40,855000,4846.8135
24_12_22_08_16_30,870000,5302.8975
24_12_22_08_26_23,885000,5658.495
24_12_22_08_36_11,900000,5049.5654
24_12_22_08_46_00,915000,5095.427
24_12_22_08_55_51,930000,5594.7134
24_12_22_09_05_44,945000,5522.2925
24_12_22_09_15_41,960000,6300.505
24_12_22_09_25_33,975000,5604.2563
24_12_22_09_35_31,990000,6220.7275
24_12_22_09_45_15,1005000,4922.759
24_12_22_09_55_07,1020000,5560.7266
24_12_22_10_05_04,1035000,6363.5415
24_12_22_10_15_02,1050000,6292.7583
24_12_22_10_24_59,1065000,6226.3525
24_12_22_10_34_44,1080000,4841.496
24_12_22_10_44_34,1095000,5365.09
24_12_22_10_54_26,1110000,5595.8613
24_12_22_11_04_23,1125000,5726.9385
24_12_22_11_14_14,1140000,5174.0566
24_12_22_11_24_06,1155000,5502.05
24_12_22_11_33_54,1170000,5103.0103
24_12_22_11_43_49,1185000,6045.6143
24_12_22_11_53_42,1200000,5701.9834
24_12_22_12_03_39,1215000,6297.0923
24_12_22_12_13_36,1230000,6422.1465
24_12_22_12_23_32,1245000,6373.1396
24_12_22_12_33_26,1260000,5824.8037
24_12_22_12_43_23,1275000,5896.801
24_12_22_12_53_16,1290000,5669.2456
24_12_22_13_03_08,1305000,5816.902
24_12_22_13_13_05,1320000,6345.9507
24_12_22_13_23_02,1335000,6297.73
24_12_22_13_32_58,1350000,6324.9556
24_12_22_13_42_55,1365000,6073.927
24_12_22_13_52_49,1380000,5878.0557
24_12_22_14_02_45,1395000,6167.507
24_12_22_14_12_43,1410000,6275.066
24_12_22_14_22_40,1425000,6318.46
24_12_22_14_34_03,1440000,6297.3623
24_12_22_14_44_37,1455000,5732.0728
24_12_22_14_54_30,1470000,5281.2695
24_12_22_15_04_27,1485000,6140.9053
24_12_22_15_14_24,1500000,6381.556
