wall_time,step,return
24_12_22_11_43_50,15000,3383.9204
24_12_22_11_56_57,30000,6179.825
24_12_22_12_10_08,45000,6475.522
24_12_22_12_23_22,60000,7138.249
24_12_22_12_36_38,75000,7484.216
24_12_22_12_49_56,90000,8049.4766
24_12_22_13_03_09,105000,8262.065
24_12_22_13_16_25,120000,8661.54
24_12_22_13_29_37,135000,8988.042
24_12_22_13_42_48,150000,9166.141
24_12_22_13_56_06,165000,9595.253
24_12_22_14_09_22,180000,9631.538
24_12_22_14_22_22,195000,9511.453
24_12_22_14_35_36,210000,9706.818
24_12_22_14_48_55,225000,9709.104
24_12_22_15_02_12,240000,9580.533
24_12_22_15_15_33,255000,9331.684
24_12_22_15_28_49,270000,9526.352
24_12_22_15_42_07,285000,9636.584
24_12_22_15_55_27,300000,10158.205
24_12_22_16_08_44,315000,9706.296
24_12_22_16_21_59,330000,10096.415
24_12_22_16_35_23,345000,10445.49
24_12_22_16_48_36,360000,9783.307
24_12_22_17_01_52,375000,10352.764
24_12_22_17_15_09,390000,10664.051
24_12_22_17_28_24,405000,10879.409
24_12_22_17_41_46,420000,10988.154
24_12_22_17_55_10,435000,11240.032
24_12_22_18_08_28,450000,11678.803
24_12_22_18_21_49,465000,10350.832
24_12_22_18_35_05,480000,11522.462
24_12_22_18_48_24,495000,10816.1875
24_12_22_19_01_42,510000,11747.59
24_12_22_19_15_03,525000,11962.678
24_12_22_19_28_21,540000,12100.135
24_12_22_19_41_42,555000,12098.806
24_12_22_19_55_03,570000,12011.63
24_12_22_20_08_24,585000,12281.185
24_12_22_20_21_42,600000,11898.959
24_12_22_20_34_59,615000,12231.156
24_12_22_20_48_19,630000,12046.381
24_12_22_21_01_36,645000,12232.908
24_12_22_21_14_56,660000,12085.576
24_12_22_21_28_15,675000,12599.238
24_12_22_21_41_33,690000,12264.196
24_12_22_21_54_45,705000,11945.634
24_12_22_22_08_03,720000,12036.111
24_12_22_22_21_19,735000,12114.147
24_12_22_22_34_38,750000,12578.427
24_12_22_22_47_57,765000,11923.937
24_12_22_23_01_08,780000,12351.023
24_12_22_23_14_19,795000,12467.903
24_12_22_23_27_34,810000,12540.602
24_12_22_23_40_45,825000,12225.702
24_12_22_23_53_56,840000,12366.063
24_12_23_00_07_09,855000,12831.76
24_12_23_00_20_25,870000,13268.318
24_12_23_00_33_34,885000,13579.528
24_12_23_00_46_45,900000,12960.393
24_12_23_01_00_01,915000,13252.252
24_12_23_01_13_09,930000,12459.099
24_12_23_01_26_21,945000,13042.085
24_12_23_01_39_34,960000,13232.193
24_12_23_01_52_51,975000,13530.266
24_12_23_02_06_03,990000,13550.279
24_12_23_02_19_11,1005000,13010.318
24_12_23_02_32_21,1020000,13123.083
24_12_23_02_45_33,1035000,13640.139
24_12_23_02_58_43,1050000,13397.75
24_12_23_03_11_55,1065000,13776.247
24_12_23_03_25_07,1080000,12797.474
24_12_23_03_38_16,1095000,13884.74
24_12_23_03_51_33,1110000,13351.909
24_12_23_04_04_46,1125000,13057.085
24_12_23_04_17_56,1140000,4648.7314
24_12_23_04_31_13,1155000,7264.335
24_12_23_04_44_23,1170000,13645.182
24_12_23_04_57_32,1185000,12478.217
24_12_23_05_10_44,1200000,13558.631
24_12_23_05_23_53,1215000,13957.339
24_12_23_05_37_06,1230000,13695.953
24_12_23_05_50_22,1245000,13703.07
24_12_23_06_03_32,1260000,13693.201
24_12_23_06_16_40,1275000,13856.872
24_12_23_06_29_53,1290000,14163.502
24_12_23_06_43_04,1305000,14339.685
24_12_23_06_56_13,1320000,14184.111
24_12_23_07_09_29,1335000,14326.302
24_12_23_07_22_45,1350000,13947.873
24_12_23_07_36_01,1365000,14531.232
24_12_23_07_49_15,1380000,14271.2705
24_12_23_08_02_29,1395000,13870.303
24_12_23_08_15_39,1410000,14373.82
24_12_23_08_28_55,1425000,13920.3
24_12_23_08_42_10,1440000,14603.42
24_12_23_08_55_25,1455000,14301.513
24_12_23_09_08_39,1470000,14380.565
24_12_23_09_21_51,1485000,13980.018
24_12_23_09_34_52,1500000,14143.92
