wall_time,step,return
24_12_22_11_53_38,15000,-53.438587
24_12_22_12_05_18,30000,-58.711742
24_12_22_12_16_56,45000,-56.528442
24_12_22_12_28_36,60000,-44.43312
24_12_22_12_40_16,75000,-52.918804
24_12_22_12_51_58,90000,-42.109528
24_12_22_13_03_35,105000,-38.78444
24_12_22_13_15_10,120000,-60.559937
24_12_22_13_26_44,135000,-46.26168
24_12_22_13_38_07,150000,-49.929314
24_12_22_13_49_28,165000,-42.995422
24_12_22_14_00_54,180000,-42.336872
24_12_22_14_12_30,195000,-45.876423
24_12_22_14_24_11,210000,-44.407257
24_12_22_14_35_47,225000,-44.29702
24_12_22_14_47_24,240000,-39.121716
24_12_22_14_59_04,255000,-44.680794
24_12_22_15_10_44,270000,-51.519012
24_12_22_15_22_18,285000,-42.940655
24_12_22_15_33_51,300000,-35.898125
24_12_22_15_45_25,315000,-37.77406
24_12_22_15_56_57,330000,-35.169163
24_12_22_16_08_28,345000,-37.00133
24_12_22_16_20_04,360000,-41.76829
24_12_22_16_31_35,375000,-33.809746
24_12_22_16_43_08,390000,-38.33778
24_12_22_16_54_39,405000,-38.99824
24_12_22_17_06_17,420000,-45.300705
24_12_22_17_17_55,435000,-32.888607
24_12_22_17_29_34,450000,-29.3903
24_12_22_17_41_06,465000,-26.317516
24_12_22_17_52_43,480000,-31.868763
24_12_22_18_04_18,495000,-31.836933
24_12_22_18_15_49,510000,-37.395836
24_12_22_18_27_10,525000,-24.12349
24_12_22_18_38_39,540000,-23.83218
24_12_22_18_50_09,555000,-27.34557
24_12_22_19_01_36,570000,-24.286777
24_12_22_19_12_58,585000,-23.55677
24_12_22_19_24_13,600000,-56.398315
24_12_22_19_35_34,615000,-25.59415
24_12_22_19_46_56,630000,-23.038548
24_12_22_19_58_18,645000,-24.229166
24_12_22_20_09_33,660000,-23.564007
24_12_22_20_20_50,675000,-24.043633
24_12_22_20_32_00,690000,-27.94923
24_12_22_20_43_22,705000,-23.27677
24_12_22_20_54_50,720000,-22.010822
24_12_22_21_06_11,735000,-23.229414
24_12_22_21_17_34,750000,-22.782007
24_12_22_21_28_50,765000,-23.703016
24_12_22_21_40_04,780000,-23.365858
24_12_22_21_51_20,795000,-22.433031
24_12_22_22_02_39,810000,-22.075268
24_12_22_22_14_02,825000,-20.660229
24_12_22_22_25_26,840000,-19.996927
24_12_22_22_36_47,855000,-22.047176
24_12_22_22_48_34,870000,-20.565136
24_12_22_23_00_48,885000,-21.05766
24_12_22_23_12_54,900000,-23.913427
24_12_22_23_25_00,915000,-22.847988
24_12_22_23_37_08,930000,-21.401222
24_12_22_23_49_19,945000,-21.584942
24_12_23_00_01_30,960000,-21.271328
24_12_23_00_13_41,975000,-20.648106
24_12_23_00_25_49,990000,-33.289825
24_12_23_00_37_52,1005000,-22.252735
24_12_23_00_49_59,1020000,-21.61386
24_12_23_01_02_08,1035000,-21.352942
24_12_23_01_14_15,1050000,-21.902834
24_12_23_01_26_17,1065000,-23.474146
24_12_23_01_38_29,1080000,-20.920504
24_12_23_01_50_39,1095000,-21.48781
24_12_23_02_02_47,1110000,-24.574032
24_12_23_02_14_52,1125000,-21.192177
24_12_23_02_26_54,1140000,-23.92614
24_12_23_02_39_05,1155000,-26.48582
24_12_23_02_51_15,1170000,-20.992893
24_12_23_03_03_19,1185000,-21.31029
24_12_23_03_15_28,1200000,-21.257366
24_12_23_03_27_34,1215000,-51.017017
24_12_23_03_39_39,1230000,-21.04626
24_12_23_03_51_42,1245000,-22.101795
24_12_23_04_03_44,1260000,-22.816116
24_12_23_04_15_50,1275000,-21.413704
24_12_23_04_27_55,1290000,-21.599031
24_12_23_04_40_07,1305000,-21.871593
24_12_23_04_52_10,1320000,-24.386562
24_12_23_05_04_12,1335000,-21.448692
24_12_23_05_16_21,1350000,-21.218853
24_12_23_05_28_28,1365000,-21.703695
24_12_23_05_40_36,1380000,-22.129353
24_12_23_05_52_45,1395000,-23.260544
24_12_23_06_04_54,1410000,-20.559395
24_12_23_06_16_55,1425000,-22.40128
24_12_23_06_28_57,1440000,-21.088615
24_12_23_06_41_03,1455000,-21.556114
24_12_23_06_53_08,1470000,-22.109476
24_12_23_07_05_13,1485000,-63.107544
24_12_23_07_17_15,1500000,-68.06617
