wall_time,step,return
24_12_22_11_40_30,15000,2092.1755
24_12_22_11_53_47,30000,5643.105
24_12_22_12_07_04,45000,7215.4336
24_12_22_12_20_16,60000,7374.8857
24_12_22_12_33_36,75000,7442.5283
24_12_22_12_46_48,90000,7924.9897
24_12_22_13_00_01,105000,8106.175
24_12_22_13_13_09,120000,8728.662
24_12_22_13_26_25,135000,8988.014
24_12_22_13_39_41,150000,9139.456
24_12_22_13_52_53,165000,8953.985
24_12_22_14_06_11,180000,8417.495
24_12_22_14_19_25,195000,10145.92
24_12_22_14_32_44,210000,10304.567
24_12_22_14_45_51,225000,10415.037
24_12_22_14_59_09,240000,10492.639
24_12_22_15_12_21,255000,10252.6455
24_12_22_15_25_36,270000,11052.546
24_12_22_15_38_49,285000,10762.085
24_12_22_15_52_04,300000,11343.314
24_12_22_16_05_19,315000,10876.021
24_12_22_16_18_34,330000,11763.348
24_12_22_16_31_48,345000,11481.202
24_12_22_16_44_59,360000,11479.631
24_12_22_16_58_16,375000,11741.768
24_12_22_17_11_31,390000,11825.047
24_12_22_17_24_47,405000,11731.999
24_12_22_17_38_05,420000,11614.843
24_12_22_17_51_16,435000,12081.621
24_12_22_18_04_36,450000,12120.557
24_12_22_18_17_56,465000,12129.56
24_12_22_18_31_16,480000,12376.865
24_12_22_18_44_34,495000,12229.736
24_12_22_18_57_54,510000,11521.506
24_12_22_19_11_14,525000,12501.804
24_12_22_19_24_38,540000,12247.584
24_12_22_19_38_02,555000,11837.315
24_12_22_19_51_16,570000,12516.035
24_12_22_20_04_37,585000,12362.323
24_12_22_20_17_54,600000,11965.978
24_12_22_20_31_09,615000,12678.863
24_12_22_20_44_26,630000,12795.438
24_12_22_20_57_43,645000,12788.206
24_12_22_21_11_00,660000,12719.37
24_12_22_21_24_20,675000,12333.438
24_12_22_21_37_38,690000,12981.43
24_12_22_21_50_53,705000,13845.061
24_12_22_22_04_08,720000,13754.797
24_12_22_22_17_21,735000,13076.553
24_12_22_22_30_34,750000,13132.369
24_12_22_22_43_47,765000,13560.464
24_12_22_22_56_59,780000,13517.924
24_12_22_23_10_07,795000,13068.146
24_12_22_23_23_16,810000,13585.705
24_12_22_23_36_23,825000,13003.511
24_12_22_23_49_36,840000,13858.266
24_12_23_00_02_47,855000,12583.876
24_12_23_00_16_03,870000,13539.572
24_12_23_00_29_17,885000,12720.99
24_12_23_00_42_26,900000,13847.894
24_12_23_00_55_37,915000,13226.557
24_12_23_01_08_54,930000,14047.653
24_12_23_01_22_06,945000,13573.769
24_12_23_01_35_17,960000,13663.503
24_12_23_01_48_31,975000,13204.948
24_12_23_02_01_39,990000,14089.521
24_12_23_02_14_51,1005000,13952.588
24_12_23_02_28_01,1020000,13469.69
24_12_23_02_41_10,1035000,13601.106
24_12_23_02_54_23,1050000,12728.143
24_12_23_03_07_34,1065000,13643.974
24_12_23_03_20_41,1080000,13791.708
24_12_23_03_33_51,1095000,13856.787
24_12_23_03_47_03,1110000,13396.839
24_12_23_04_00_13,1125000,13216.299
24_12_23_04_13_19,1140000,13668.362
24_12_23_04_26_32,1155000,13029.361
24_12_23_04_39_43,1170000,13910.4795
24_12_23_04_52_48,1185000,13413.922
24_12_23_05_06_03,1200000,13907.234
24_12_23_05_19_15,1215000,13896.495
24_12_23_05_32_23,1230000,14025.45
24_12_23_05_45_35,1245000,14009.396
24_12_23_05_58_44,1260000,14068.951
24_12_23_06_11_52,1275000,13985.6455
24_12_23_06_25_00,1290000,13604.977
24_12_23_06_38_12,1305000,13312.94
24_12_23_06_51_22,1320000,14210.172
24_12_23_07_04_34,1335000,14192.737
24_12_23_07_17_46,1350000,14174.709
24_12_23_07_31_06,1365000,13778.461
24_12_23_07_44_24,1380000,14031.654
24_12_23_07_57_39,1395000,13448.311
24_12_23_08_10_53,1410000,13797.904
24_12_23_08_23_58,1425000,13776.55
24_12_23_08_37_05,1440000,13513.924
24_12_23_08_50_17,1455000,14198.586
24_12_23_09_03_33,1470000,13875.3545
24_12_23_09_16_50,1485000,14236.271
24_12_23_09_30_04,1500000,13720.729
