wall_time,step,return
24_12_22_11_41_48,15000,307.44244
24_12_22_11_53_37,30000,459.14142
24_12_22_12_05_30,45000,512.48083
24_12_22_12_18_22,60000,2422.9268
24_12_22_12_31_37,75000,3682.563
24_12_22_12_44_50,90000,3656.6184
24_12_22_12_57_28,105000,2624.772
24_12_22_13_10_54,120000,4404.5273
24_12_22_13_24_19,135000,4618.948
24_12_22_13_37_19,150000,3449.9563
24_12_22_13_50_04,165000,2915.6326
24_12_22_14_02_43,180000,2431.8813
24_12_22_14_14_52,195000,1376.9429
24_12_22_14_27_44,210000,3306.1953
24_12_22_14_40_52,225000,3966.2747
24_12_22_14_54_09,240000,4777.459
24_12_22_15_07_37,255000,4893.3647
24_12_22_15_20_53,270000,4498.6045
24_12_22_15_33_52,285000,3806.271
24_12_22_15_46_47,300000,3494.7
24_12_22_15_59_51,315000,3875.298
24_12_22_16_13_15,330000,5157.05
24_12_22_16_26_02,345000,3223.15
24_12_22_16_39_22,360000,4684.306
24_12_22_16_51_46,375000,2047.6705
24_12_22_17_05_04,390000,4520.9873
24_12_22_17_18_14,405000,4531.5283
24_12_22_17_30_49,420000,2714.52
24_12_22_17_44_17,435000,5270.8325
24_12_22_17_57_22,450000,4327.8135
24_12_22_18_10_40,465000,4850.2954
24_12_22_18_24_15,480000,5402.9253
24_12_22_18_37_10,495000,3951.8032
24_12_22_18_50_43,510000,5478.582
24_12_22_19_04_16,525000,5636.689
24_12_22_19_17_52,540000,5747.9614
24_12_22_19_31_22,555000,5448.6978
24_12_22_19_44_51,570000,4986.837
24_12_22_19_58_28,585000,5468.0127
24_12_22_20_12_04,600000,5218.7993
24_12_22_20_25_15,615000,4120.6133
24_12_22_20_38_45,630000,4848.448
24_12_22_20_51_48,645000,3703.0708
24_12_22_21_05_23,660000,5310.891
24_12_22_21_18_43,675000,4165.81
24_12_22_21_32_21,690000,5184.6304
24_12_22_21_45_48,705000,4798.7773
24_12_22_21_58_26,720000,1979.1809
24_12_22_22_11_30,735000,3906.1453
24_12_22_22_24_55,750000,4562.2407
24_12_22_22_38_13,765000,4529.512
24_12_22_22_50_19,780000,1340.3899
24_12_22_23_03_17,795000,4306.2686
24_12_22_23_16_16,810000,3905.767
24_12_22_23_29_25,825000,4362.035
24_12_22_23_42_04,840000,3047.877
24_12_22_23_55_19,855000,4571.198
24_12_23_00_08_36,870000,4746.8926
24_12_23_00_21_57,885000,5414.8984
24_12_23_00_34_12,900000,2057.385
24_12_23_00_47_21,915000,4639.54
24_12_23_00_59_46,930000,2491.462
24_12_23_01_12_49,945000,4121.5713
24_12_23_01_26_12,960000,5152.673
24_12_23_01_39_35,975000,4989.097
24_12_23_01_53_04,990000,4929.081
24_12_23_02_06_22,1005000,4804.343
24_12_23_02_19_46,1020000,5073.5005
24_12_23_02_33_08,1035000,5382.4785
24_12_23_02_46_36,1050000,5759.5703
24_12_23_02_59_20,1065000,3495.2957
24_12_23_03_12_09,1080000,3576.6616
24_12_23_03_25_13,1095000,4993.5347
24_12_23_03_38_37,1110000,5660.458
24_12_23_03_51_34,1125000,4170.3525
24_12_23_04_04_57,1140000,6123.9644
24_12_23_04_17_36,1155000,3288.149
24_12_23_04_30_42,1170000,4909.3887
24_12_23_04_42_57,1185000,1775.516
24_12_23_04_56_03,1200000,5077.7007
24_12_23_05_09_16,1215000,6123.279
24_12_23_05_22_34,1230000,6058.2725
24_12_23_05_36_03,1245000,6198.039
24_12_23_05_48_28,1260000,2934.1377
24_12_23_06_01_10,1275000,3799.7317
24_12_23_06_13_30,1290000,2140.035
24_12_23_06_26_56,1305000,6219.546
24_12_23_06_40_03,1320000,5079.5522
24_12_23_06_53_24,1335000,6328.278
24_12_23_07_06_03,1350000,3441.9224
24_12_23_07_19_05,1365000,4945.943
24_12_23_07_32_17,1380000,5523.33
24_12_23_07_45_20,1395000,5421.823
24_12_23_07_58_39,1410000,6134.8447
24_12_23_08_10_17,1425000,581.39514
24_12_23_08_23_30,1440000,5183.6455
24_12_23_08_36_38,1455000,5151.9473
24_12_23_08_48_36,1470000,937.33673
24_12_23_09_02_01,1485000,6320.397
24_12_23_09_14_10,1500000,1742.6627
