wall_time,step,return
24_12_22_11_48_12,15000,9325.217
24_12_22_12_01_53,30000,9331.075
24_12_22_12_15_32,45000,9306.451
24_12_22_12_29_14,60000,9337.557
24_12_22_12_42_57,75000,9335.877
24_12_22_12_56_37,90000,9304.377
24_12_22_13_10_27,105000,9302.623
24_12_22_13_24_09,120000,9315.569
24_12_22_13_38_03,135000,9317.425
24_12_22_13_51_54,150000,9350.531
24_12_22_14_05_48,165000,9320.404
24_12_22_14_19_46,180000,9348.916
24_12_22_14_33_26,195000,9281.342
24_12_22_14_47_08,210000,9352.167
24_12_22_15_01_03,225000,9288.276
24_12_22_15_14_54,240000,9316.861
24_12_22_15_28_38,255000,9288.88
24_12_22_15_42_13,270000,9291.058
24_12_22_15_55_59,285000,9350.514
24_12_22_16_09_46,300000,9301.529
24_12_22_16_23_39,315000,9350.35
24_12_22_16_36_27,330000,5576.659
24_12_22_16_50_10,345000,8516.258
24_12_22_17_03_48,360000,8060.2007
24_12_22_17_17_44,375000,9324.043
24_12_22_17_31_37,390000,9309.934
24_12_22_17_45_26,405000,9323.921
24_12_22_17_59_03,420000,9349.905
24_12_22_18_12_41,435000,9349.232
24_12_22_18_24_31,450000,1628.9595
24_12_22_18_38_10,465000,9347.435
24_12_22_18_51_54,480000,9326.391
24_12_22_19_05_29,495000,9340.998
24_12_22_19_19_08,510000,9294.777
24_12_22_19_32_51,525000,9347.38
24_12_22_19_46_29,540000,9353.377
24_12_22_20_00_09,555000,9342.744
24_12_22_20_13_48,570000,9345.791
24_12_22_20_27_24,585000,9350.081
24_12_22_20_41_03,600000,9351.803
24_12_22_20_54_51,615000,9346.374
24_12_22_21_08_38,630000,9348.318
24_12_22_21_22_23,645000,9351.019
24_12_22_21_36_05,660000,9350.135
24_12_22_21_49_45,675000,9347.775
24_12_22_22_03_29,690000,9350.377
24_12_22_22_16_29,705000,7824.405
24_12_22_22_30_12,720000,9342.44
24_12_22_22_43_47,735000,9348.05
24_12_22_22_57_28,750000,9353.203
24_12_22_23_11_01,765000,9334.921
24_12_22_23_24_44,780000,9341.528
24_12_22_23_38_25,795000,9340.092
24_12_22_23_51_29,810000,6107.411
24_12_23_00_05_04,825000,9352.833
24_12_23_00_18_42,840000,9348.787
24_12_23_00_32_26,855000,9346.58
24_12_23_00_46_06,870000,9349.436
24_12_23_00_59_43,885000,9349.559
24_12_23_01_13_28,900000,9349.599
24_12_23_01_25_31,915000,1954.0957
24_12_23_01_39_06,930000,9349.495
24_12_23_01_52_38,945000,9349.669
24_12_23_02_06_18,960000,9349.2705
24_12_23_02_19_58,975000,9356.643
24_12_23_02_33_33,990000,9347.759
24_12_23_02_47_15,1005000,9345.476
24_12_23_03_00_57,1020000,9341.117
24_12_23_03_14_29,1035000,9346.018
24_12_23_03_27_30,1050000,6734.632
24_12_23_03_41_14,1065000,9346.116
24_12_23_03_54_59,1080000,9343.554
24_12_23_04_08_00,1095000,6246.223
24_12_23_04_21_32,1110000,9337.264
24_12_23_04_35_17,1125000,9309.747
24_12_23_04_49_01,1140000,9327.605
24_12_23_05_02_41,1155000,9344.786
24_12_23_05_16_17,1170000,9321.643
24_12_23_05_29_38,1185000,9350.273
24_12_23_05_43_16,1200000,9348.768
24_12_23_05_56_56,1215000,9315.582
24_12_23_06_10_35,1230000,9307.353
24_12_23_06_24_13,1245000,9335.117
24_12_23_06_37_56,1260000,9310.986
24_12_23_06_51_36,1275000,9333.059
24_12_23_07_04_09,1290000,4009.769
24_12_23_07_17_33,1305000,8185.6626
24_12_23_07_29_48,1320000,3370.9563
24_12_23_07_42_48,1335000,6259.2207
24_12_23_07_56_26,1350000,9339.294
24_12_23_08_10_06,1365000,9346.852
24_12_23_08_23_43,1380000,9317.606
24_12_23_08_37_21,1395000,9310.297
24_12_23_08_50_56,1410000,9334.577
24_12_23_09_04_30,1425000,9346.279
24_12_23_09_18_00,1440000,8583.734
24_12_23_09_31_36,1455000,9125.922
24_12_23_09_45_18,1470000,9355.279
24_12_23_09_58_28,1485000,7466.4893
24_12_23_10_12_11,1500000,9319.959
