wall_time,step,return
24_12_22_15_39_49,15000,247.44926
24_12_22_15_50_49,30000,584.77
24_12_22_16_01_46,45000,558.01526
24_12_22_16_12_45,60000,674.7905
24_12_22_16_23_53,75000,1334.7845
24_12_22_16_35_08,90000,2243.3015
24_12_22_16_46_32,105000,3323.5317
24_12_22_16_58_09,120000,4645.997
24_12_22_17_09_44,135000,4655.898
24_12_22_17_21_03,150000,2766.7231
24_12_22_17_32_38,165000,4730.3867
24_12_22_17_44_19,180000,5225.6865
24_12_22_17_56_00,195000,5385.1777
24_12_22_18_07_33,210000,4389.3286
24_12_22_18_19_09,225000,5174.8467
24_12_22_18_30_38,240000,4745.5264
24_12_22_18_42_04,255000,4345.8687
24_12_22_18_53_33,270000,4430.4316
24_12_22_19_05_14,285000,5687.7476
24_12_22_19_16_44,300000,5401.955
24_12_22_19_28_22,315000,5979.191
24_12_22_19_40_00,330000,6254.575
24_12_22_19_51_30,345000,5393.4307
24_12_22_20_02_47,360000,3705.091
24_12_22_20_14_17,375000,5707.3545
24_12_22_20_25_50,390000,6716.8955
24_12_22_20_36_54,405000,2692.5977
24_12_22_20_48_32,420000,7543.3384
24_12_22_21_00_00,435000,6124.417
24_12_22_21_11_33,450000,6978.978
24_12_22_21_23_05,465000,6857.6367
24_12_22_21_34_23,480000,5356.0137
24_12_22_21_45_46,495000,6057.572
24_12_22_21_57_00,510000,4696.09
24_12_22_22_08_17,525000,4929.2983
24_12_22_22_19_37,540000,5512.22
24_12_22_22_31_07,555000,7288.215
24_12_22_22_42_20,570000,4830.181
24_12_22_22_54_00,585000,7348.785
24_12_22_23_05_20,600000,6103.589
24_12_22_23_16_59,615000,5220.0273
24_12_22_23_28_39,630000,5799.8564
24_12_22_23_40_23,645000,6460.5728
24_12_22_23_52_02,660000,6512.841
24_12_23_00_03_57,675000,8677.213
24_12_23_00_15_35,690000,6028.8286
24_12_23_00_33_00,705000,7914.167
24_12_23_00_44_21,720000,6746.6436
24_12_23_00_55_20,735000,3183.7075
24_12_23_01_06_44,750000,7049.4766
24_12_23_01_18_11,765000,7493.7085
24_12_23_01_29_29,780000,5792.083
24_12_23_01_41_00,795000,8172.69
24_12_23_01_52_33,810000,8843.541
24_12_23_02_04_04,825000,8400.721
24_12_23_02_15_06,840000,3435.3354
24_12_23_02_26_40,855000,8904.434
24_12_23_02_38_01,870000,7202.157
24_12_23_02_49_06,885000,4168.8735
24_12_23_03_00_34,900000,7907.604
24_12_23_03_11_41,915000,4791.602
24_12_23_03_23_06,930000,7196.682
24_12_23_03_34_33,945000,8011.7954
24_12_23_03_45_30,960000,2671.882
24_12_23_03_56_59,975000,8149.392
24_12_23_04_08_28,990000,8659.534
24_12_23_04_19_42,1005000,6096.8623
24_12_23_04_31_03,1020000,6201.0596
24_12_23_04_42_12,1035000,5039.0156
24_12_23_04_53_28,1050000,6317.5483
24_12_23_05_04_53,1065000,7624.8423
24_12_23_05_16_04,1080000,5204.589
24_12_23_05_27_34,1095000,8926.812
24_12_23_05_39_02,1110000,8389.384
24_12_23_05_50_28,1125000,8330.085
24_12_23_06_01_17,1140000,1430.436
24_12_23_06_12_45,1155000,8552.193
24_12_23_06_24_06,1170000,7228.9297
24_12_23_06_35_01,1185000,2717.316
24_12_23_06_46_33,1200000,9255.821
24_12_23_06_57_50,1215000,6699.204
24_12_23_07_09_09,1230000,6942.517
24_12_23_07_20_11,1245000,3558.0063
24_12_23_07_31_40,1260000,8755.318
24_12_23_07_43_09,1275000,8709.408
24_12_23_07_54_04,1290000,2623.8135
24_12_23_08_05_15,1305000,5922.1523
24_12_23_08_16_46,1320000,9095.42
24_12_23_08_27_59,1335000,5731.308
24_12_23_08_39_32,1350000,9803.916
24_12_23_08_51_06,1365000,9729.107
24_12_23_09_02_02,1380000,2644.6965
24_12_23_09_13_27,1395000,8135.4453
24_12_23_09_24_58,1410000,9994.523
24_12_23_09_36_32,1425000,9904.686
24_12_23_09_48_06,1440000,9359.38
24_12_23_09_59_45,1455000,6763.1733
24_12_23_10_10_43,1470000,3069.0151
24_12_23_10_21_59,1485000,6639.3853
24_12_23_10_33_05,1500000,4918.785
