wall_time,step,return
24_12_22_11_47_20,15000,303.14865
24_12_22_11_59_02,30000,413.61905
24_12_22_12_10_48,45000,665.9557
24_12_22_12_22_50,60000,1053.9948
24_12_22_12_35_16,75000,1813.0867
24_12_22_12_48_22,90000,3172.8547
24_12_22_13_00_43,105000,1694.4125
24_12_22_13_12_51,120000,1203.1335
24_12_22_13_26_18,135000,3516.8208
24_12_22_13_38_50,150000,1899.7566
24_12_22_13_51_36,165000,2182.0806
24_12_22_14_03_57,180000,1601.781
24_12_22_14_16_31,195000,2314.5464
24_12_22_14_28_43,210000,1526.8488
24_12_22_14_40_57,225000,1418.5872
24_12_22_14_53_14,240000,1584.4443
24_12_22_15_05_46,255000,1969.5492
24_12_22_15_18_37,270000,2603.3352
24_12_22_15_30_50,285000,1598.885
24_12_22_15_43_04,300000,1399.5465
24_12_22_15_55_12,315000,1293.463
24_12_22_16_07_38,330000,2050.558
24_12_22_16_20_33,345000,3121.5083
24_12_22_16_32_54,360000,1616.2588
24_12_22_16_45_22,375000,2169.066
24_12_22_16_57_56,390000,2290.1401
24_12_22_17_10_38,405000,2591.4707
24_12_22_17_22_54,420000,1549.4546
24_12_22_17_35_07,435000,1769.5212
24_12_22_17_48_09,450000,3299.3364
24_12_22_18_00_35,465000,2491.2754
24_12_22_18_12_43,480000,1671.7406
24_12_22_18_25_12,495000,2466.1274
24_12_22_18_37_41,510000,2320.7896
24_12_22_18_49_27,525000,1262.0104
24_12_22_19_01_46,540000,2151.2183
24_12_22_19_14_20,555000,2628.47
24_12_22_19_26_30,570000,1783.558
24_12_22_19_38_43,585000,2331.8257
24_12_22_19_50_51,600000,1683.8522
24_12_22_20_03_11,615000,1954.9017
24_12_22_20_15_32,630000,1936.067
24_12_22_20_27_47,645000,1877.883
24_12_22_20_40_06,660000,1943.206
24_12_22_20_52_14,675000,1643.9545
24_12_22_21_04_22,690000,1706.5873
24_12_22_21_16_34,705000,1725.3636
24_12_22_21_28_53,720000,1853.3113
24_12_22_21_41_07,735000,1838.4811
24_12_22_21_53_21,750000,1757.948
24_12_22_22_05_47,765000,2492.6208
24_12_22_22_17_48,780000,1448.2638
24_12_22_22_30_09,795000,1925.7112
24_12_22_22_42_41,810000,2317.4375
24_12_22_22_54_57,825000,1808.3508
24_12_22_23_07_18,840000,2012.6537
24_12_22_23_19_39,855000,2216.688
24_12_22_23_31_58,870000,2092.731
24_12_22_23_44_03,885000,1753.4167
24_12_22_23_56_12,900000,1601.5834
24_12_23_00_08_22,915000,1509.6204
24_12_23_00_20_39,930000,2058.1616
24_12_23_00_32_45,945000,1549.7189
24_12_23_00_44_55,960000,1760.8333
24_12_23_00_57_07,975000,1429.8469
24_12_23_01_09_22,990000,1860.6918
24_12_23_01_21_37,1005000,1658.7383
24_12_23_01_33_38,1020000,1323.4498
24_12_23_01_45_51,1035000,1951.1201
24_12_23_01_57_59,1050000,1827.1399
24_12_23_02_09_56,1065000,1099.0305
24_12_23_02_21_53,1080000,1622.3182
24_12_23_02_33_59,1095000,1864.0085
24_12_23_02_46_20,1110000,2303.481
24_12_23_02_58_27,1125000,1856.9762
24_12_23_03_10_34,1140000,1511.6067
24_12_23_03_22_42,1155000,1973.5687
24_12_23_03_35_10,1170000,2174.824
24_12_23_03_47_25,1185000,1820.4314
24_12_23_03_59_29,1200000,1666.9597
24_12_23_04_11_44,1215000,1917.6469
24_12_23_04_23_54,1230000,1959.6033
24_12_23_04_36_12,1245000,2188.4773
24_12_23_04_48_21,1260000,1706.1149
24_12_23_05_00_25,1275000,1569.6674
24_12_23_05_12_27,1290000,1645.058
24_12_23_05_24_40,1305000,1948.7246
24_12_23_05_36_36,1320000,1364.679
24_12_23_05_48_44,1335000,1905.2102
24_12_23_06_00_48,1350000,1527.348
24_12_23_06_12_59,1365000,1580.2079
24_12_23_06_25_24,1380000,2152.1042
24_12_23_06_37_39,1395000,2157.443
24_12_23_06_49_48,1410000,2085.1064
24_12_23_07_01_49,1425000,1439.0605
24_12_23_07_14_07,1440000,2151.7651
24_12_23_07_26_18,1455000,2036.0443
24_12_23_07_37_53,1470000,329.93982
24_12_23_07_50_09,1485000,1870.2474
24_12_23_08_02_29,1500000,1992.1676
