wall_time,step,return
24_12_22_11_56_48,15000,11.984307
24_12_22_12_10_19,30000,34.40648
24_12_22_12_23_56,45000,41.260338
24_12_22_12_37_31,60000,44.295143
24_12_22_12_51_08,75000,45.210503
24_12_22_13_04_44,90000,49.86457
24_12_22_13_18_17,105000,53.71244
24_12_22_13_31_37,120000,88.10251
24_12_22_13_45_00,135000,77.34285
24_12_22_13_58_21,150000,133.39337
24_12_22_14_11_50,165000,110.11271
24_12_22_14_25_24,180000,116.48413
24_12_22_14_39_01,195000,130.35745
24_12_22_14_52_28,210000,123.38109
24_12_22_15_06_08,225000,136.26334
24_12_22_15_19_42,240000,129.46909
24_12_22_15_33_14,255000,126.46299
24_12_22_15_46_47,270000,139.89795
24_12_22_16_00_20,285000,135.17209
24_12_22_16_13_53,300000,137.18668
24_12_22_16_27_18,315000,124.06362
24_12_22_16_40_40,330000,132.20717
24_12_22_16_54_04,345000,130.13016
24_12_22_17_07_36,360000,132.16106
24_12_22_17_21_02,375000,134.49026
24_12_22_17_34_29,390000,134.71605
24_12_22_17_47_58,405000,131.07462
24_12_22_18_01_27,420000,134.81522
24_12_22_18_15_01,435000,134.7479
24_12_22_18_28_23,450000,136.3014
24_12_22_18_41_48,465000,131.97287
24_12_22_18_55_13,480000,132.25655
24_12_22_19_08_27,495000,131.19707
24_12_22_19_21_43,510000,134.16788
24_12_22_19_35_05,525000,134.11351
24_12_22_19_48_15,540000,128.39609
24_12_22_20_01_33,555000,137.30896
24_12_22_20_14_55,570000,141.77048
24_12_22_20_28_13,585000,136.12874
24_12_22_20_41_31,600000,137.99709
24_12_22_20_54_51,615000,112.07489
24_12_22_21_08_12,630000,133.40361
24_12_22_21_21_27,645000,132.42711
24_12_22_21_34_44,660000,129.49152
24_12_22_21_48_03,675000,138.61552
24_12_22_22_01_20,690000,134.45198
24_12_22_22_14_39,705000,140.28317
24_12_22_22_27_58,720000,136.48111
24_12_22_22_41_17,735000,125.39968
24_12_22_22_54_37,750000,138.6357
24_12_22_23_07_54,765000,132.92126
24_12_22_23_21_09,780000,124.43998
24_12_22_23_34_30,795000,136.50049
24_12_22_23_47_51,810000,134.69528
24_12_23_00_01_10,825000,136.61705
24_12_23_00_14_27,840000,137.37889
24_12_23_00_27_37,855000,139.28098
24_12_23_00_40_55,870000,132.8809
24_12_23_00_54_15,885000,129.37029
24_12_23_01_07_25,900000,130.43242
24_12_23_01_20_44,915000,125.43917
24_12_23_01_34_03,930000,121.94096
24_12_23_01_47_17,945000,127.08026
24_12_23_02_00_35,960000,130.39514
24_12_23_02_14_00,975000,136.02983
24_12_23_02_27_17,990000,129.15028
24_12_23_02_40_39,1005000,129.45407
24_12_23_02_53_57,1020000,129.90926
24_12_23_03_07_15,1035000,111.08634
24_12_23_03_20_31,1050000,131.09174
24_12_23_03_33_52,1065000,131.83006
24_12_23_03_47_10,1080000,123.35594
24_12_23_04_00_31,1095000,120.60777
24_12_23_04_13_53,1110000,122.79407
24_12_23_04_27_08,1125000,129.99301
24_12_23_04_40_25,1140000,126.80621
24_12_23_04_53_46,1155000,94.87993
24_12_23_05_07_05,1170000,127.15708
24_12_23_05_20_19,1185000,121.41819
24_12_23_05_33_38,1200000,115.88784
24_12_23_05_46_55,1215000,133.54166
24_12_23_06_00_06,1230000,128.99716
24_12_23_06_13_25,1245000,129.91394
24_12_23_06_26_40,1260000,123.958336
24_12_23_06_39_59,1275000,111.56682
24_12_23_06_53_22,1290000,131.0721
24_12_23_07_06_45,1305000,127.807045
24_12_23_07_20_05,1320000,131.42331
24_12_23_07_33_31,1335000,128.0541
24_12_23_07_46_55,1350000,130.37753
24_12_23_08_00_24,1365000,142.63388
24_12_23_08_13_45,1380000,137.65611
24_12_23_08_27_02,1395000,128.21927
24_12_23_08_40_12,1410000,140.85587
24_12_23_08_53_29,1425000,125.408005
24_12_23_09_06_46,1440000,122.11914
24_12_23_09_20_03,1455000,119.14429
24_12_23_09_33_18,1470000,137.89273
24_12_23_09_46_39,1485000,135.26376
24_12_23_10_00_00,1500000,130.2883
