wall_time,step,return
24_12_22_15_39_45,15000,333.9157
24_12_22_15_50_43,30000,488.754
24_12_22_16_01_43,45000,662.6495
24_12_22_16_12_48,60000,1330.6692
24_12_22_16_24_00,75000,1824.682
24_12_22_16_35_13,90000,1923.0176
24_12_22_16_46_49,105000,4204.6455
24_12_22_16_57_59,120000,2062.2964
24_12_22_17_09_00,135000,1335.4941
24_12_22_17_20_18,150000,2995.2676
24_12_22_17_31_29,165000,2836.207
24_12_22_17_42_57,180000,4434.0283
24_12_22_17_54_14,195000,3669.53
24_12_22_18_05_44,210000,5146.928
24_12_22_18_16_58,225000,3536.6965
24_12_22_18_28_14,240000,3774.517
24_12_22_18_39_33,255000,4303.091
24_12_22_18_51_07,270000,5843.9897
24_12_22_19_02_14,285000,2268.8035
24_12_22_19_13_50,300000,6066.011
24_12_22_19_25_32,315000,6403.943
24_12_22_19_37_02,330000,5460.835
24_12_22_19_48_27,345000,4605.1655
24_12_22_19_59_55,360000,5016.8267
24_12_22_20_11_31,375000,6742.165
24_12_22_20_23_08,390000,6637.6562
24_12_22_20_34_34,405000,5754.403
24_12_22_20_45_33,420000,1815.32
24_12_22_20_56_49,435000,4200.5537
24_12_22_21_08_21,450000,6635.5024
24_12_22_21_19_25,465000,2807.7144
24_12_22_21_30_51,480000,5971.0435
24_12_22_21_42_14,495000,5700.2803
24_12_22_21_53_40,510000,6367.169
24_12_22_22_04_51,525000,4279.5845
24_12_22_22_15_49,540000,1696.1322
24_12_22_22_27_22,555000,7312.3335
24_12_22_22_38_56,570000,7490.617
24_12_22_22_50_17,585000,5398.1826
24_12_22_23_02_03,600000,8003.4087
24_12_22_23_13_34,615000,5053.603
24_12_22_23_25_21,630000,7200.215
24_12_22_23_37_07,645000,6589.6123
24_12_22_23_49_00,660000,7414.827
24_12_23_00_00_35,675000,6095.6567
24_12_23_00_12_22,690000,7021.069
24_12_23_00_27_50,705000,2551.6343
24_12_23_00_40_35,720000,4855.9385
24_12_23_00_52_04,735000,7920.544
24_12_23_01_03_33,750000,7661.7905
24_12_23_01_14_41,765000,4089.1301
24_12_23_01_25_58,780000,5822.409
24_12_23_01_37_31,795000,8454.669
24_12_23_01_48_40,810000,4177.5625
24_12_23_01_59_44,825000,3556.6597
24_12_23_02_11_19,840000,8852.901
24_12_23_02_22_46,855000,7077.815
24_12_23_02_34_05,870000,6091.8657
24_12_23_02_45_30,885000,7258.714
24_12_23_02_56_29,900000,2678.9746
24_12_23_03_08_04,915000,8456.321
24_12_23_03_19_23,930000,5803.0947
24_12_23_03_30_48,945000,7017.212
24_12_23_03_41_51,960000,3282.5132
24_12_23_03_53_18,975000,7548.001
24_12_23_04_04_53,990000,9076.724
24_12_23_04_16_14,1005000,6684.835
24_12_23_04_27_46,1020000,8485.9375
24_12_23_04_39_17,1035000,8674.609
24_12_23_04_50_52,1050000,8688.475
24_12_23_05_02_10,1065000,6312.8584
24_12_23_05_13_32,1080000,6802.1807
24_12_23_05_25_02,1095000,7799.0454
24_12_23_05_35_54,1110000,1946.5325
24_12_23_05_47_23,1125000,8039.5244
24_12_23_05_58_55,1140000,8592.02
24_12_23_06_10_18,1155000,7019.693
24_12_23_06_21_49,1170000,8596.034
24_12_23_06_33_08,1185000,6139.8984
24_12_23_06_44_34,1200000,7647.54
24_12_23_06_55_49,1215000,5971.7437
24_12_23_07_06_48,1230000,2597.9233
24_12_23_07_18_06,1245000,6275.462
24_12_23_07_29_12,1260000,4086.5605
24_12_23_07_40_41,1275000,8035.289
24_12_23_07_52_03,1290000,6785.5376
24_12_23_08_03_33,1305000,8308.37
24_12_23_08_14_56,1320000,7171.824
24_12_23_08_26_04,1335000,4253.8394
24_12_23_08_37_17,1350000,5131.1157
24_12_23_08_48_35,1365000,6346.212
24_12_23_09_00_13,1380000,9583.181
24_12_23_09_11_43,1395000,8355.239
24_12_23_09_23_07,1410000,7280.839
24_12_23_09_34_25,1425000,6215.689
24_12_23_09_45_49,1440000,7166.0156
24_12_23_09_57_39,1455000,8842.919
24_12_23_10_09_13,1470000,9371.689
24_12_23_10_20_30,1485000,6448.098
24_12_23_10_31_56,1500000,7727.678
